Fecha,Tipo Tarea,ID Palet,Responsable,Tiempo,Alimento 1,Cant 1 Kg/bandeja,Alimento 2,Cant 2 Kg/bandeja,Frass Kg total,Nueva Ubicación,Anotaciones,Peso Total Larva (Kg),Peso por Bandeja (Kg)
15/12/2025,Extraccion de huevos,EMIX01,Cris,30,Salvado,"0,5",,,,,,,
15/01/2026,Extraccion de huevos,EMIX01,Cris,30,Salvado,"0,5",,,,,,,
15/12/2025,Extraccion de huevos,EMIX04,Cris,30,Salvado,"0,5",,,,,,,
29/12/2025,Extraccion de huevos,EMIX06,Cris,30,Salvado,"0,5",,,,,,,
31/12/2025,Extraccion de huevos,EMIX08,Cris,30,Salvado,"0,5",,,,,,,
02/01/2026,Extraccion de huevos,EMIX01,Cris,30,Salvado,"0,5",,,,,,,
05/01/2026,Extraccion de huevos,EMIX02,Cris,30,Salvado,"0,5",,,,,,,
05/01/2026,Extraccion de huevos,EMIXP01,Cris,10,Salvado,"0,5",,,,,,,
16/01/2026,Extraccion de huevos,EMIX03,Antonio Jose,35,Salvado,"0,5",,,,,,,
16/01/2026,Extraccion de huevos,EMIX04,Antonio Jose,35,Salvado,"0,5",,,,,,,
16/01/2026,Extraccion de huevos,EMIX07,Antonio Jose,35,Salvado,"0,5",,,,,,,
16/01/2026,Extraccion de huevos,EMIX05,Antonio Jose,35,Salvado,"0,5",,,,,,,
16/01/2026,Alimentacion,EMIX01,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX02,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX03,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX04,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX05,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX06,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX07,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIXP01,Cris,5,Brocoli,"0,05",,,,,,,
16/01/2026,Alimentacion,EMIX08,Cris,5,Brocoli,"0,05",,,,,,,
26/01/2026,Extraccion de huevos,EMIX01,Cris,30,,0,,0,0,AULA_1,,0,0
26/01/2026,Extraccion de huevos,EMIX02,Cris,30,,0,,0,0,AULA_1,,0,0
26/01/2026,Extraccion de huevos,EMIX06,Cris,30,,0,,0,0,AULA_1,,0,0
26/01/2026,Extraccion de huevos,EMIXP01,Cris,10,,0,,0,0,AULA_1,,0,0
26/01/2026,Extraccion de huevos,EMIX08,Cris,30,,0,,0,0,AULA_1,,0,0
30/02/2026,Extraccion de huevos,EMIX04,Cris,0,Salvado,"0,5",,0,0,AULA_3,,0,0
30/02/2026,Extraccion de huevos,EMIX05,Cris,0,Salvado,"0,5",,0,0,AULA_3,,0,0
30/01/2026,Extraccion de huevos,EMIX07,Cris,0,Salvado,"0,5",,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-001,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-002,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-003,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-004,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-010,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-011,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-012,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-013,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-014,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-015,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-016,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-017,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-018,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-019,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-020,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-021,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-022,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-023,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,EMIX09,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-024,Cris,0,,0,,0,0,AULA_3,,0,0
02/02/2026,Cambio Aula,H-025,Cris,0,,0,,0,0,AULA_3,,0,0
3/02/2026,Cambio Aula,H-026,Cris,0,,0,,0,0,AULA_3,,0,0
3/02/2026,Cambio Aula,H-027,Cris,0,,0,,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-001,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-002,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-003,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-004,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-005,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
3/02/2026,Alimentacion,H-006,Cris,5,Salvado,"0,5",,0,0,AULA_3,,0,0
9/02/2026,Alimentacion,H-007,Cris,5,Salvado,"0,5",,0,0,AULA_2,,0,0
9/02/2026,Alimentacion,H-008,Cris,5,Salvado,"0,5",,0,0,AULA_2,,0,0
9/02/2026,Alimentacion,H-009,Cris,5,Salvado,"0,5",,0,0,AULA_2,,0,0
13/02/2026,Extraccion de huevos,EMIX09,Cris,60,Salvado,"0,5",,0,0,AULA_3,,0,0
17/02/2026,Alimentacion,H-005,Cris,0,Salvado,"0,5",,0,0,AULA_3,Limpieza bordes bandejas,0,0
17/02/2026,Alimentacion,H-006,Cris,0,Salvado,"0,5",,0,0,AULA_3,Limpieza bordes bandejas,0,0